,lineup,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,TEAM,GAMEDAY
2,".B. Knight, .C. Mobley, .R. Frahm, .C. Kaman, .A. Thornton ",1,9.1,15.0,5.0,14.0,35.7,2.0,3.0,66.7,3.0,4.0,75.0,0.0,3.0,3.0,3.0,2.0,4.0,1.0,1.0,7.0,5.0,-2.0,LAC,Jan 2 2008
3,".B. Knight, .C. Mobley, .C. Maggette, .J. Powell, .A. Thornton ",1,3.1,4.0,2.0,5.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,-4.0,LAC,Jan 2 2008
4,".B. Knight, .C. Mobley, .C. Maggette, .C. Kaman, .J. Powell ",1,1.8,2.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-4.0,LAC,Jan 2 2008
5,".S. Cassell, .C. Mobley, .C. Maggette, .C. Kaman, .Q. Ross ",1,1.8,5.0,1.0,1.0,100,0.0,0.0,0.0,3.0,4.0,75.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,LAC,Jan 2 2008
6,".S. Cassell, .C. Maggette, .C. Kaman, .Q. Ross, .A. Thornton ",1,1.5,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,LAC,Jan 2 2008
7,".B. Knight, .C. Mobley, .C. Maggette, .C. Kaman, .Q. Ross ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LAC,Jan 2 2008
8,".B. Knight, .C. Mobley, .R. Frahm, .J. Powell, .A. Thornton ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LAC,Jan 2 2008
9,".S. Cassell, .C. Mobley, .C. Maggette, .C. Kaman, .A. Thornton ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LAC,Jan 2 2008
10,".S. Cassell, .C. Mobley, .C. Maggette, .C. Kaman, .J. Powell ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LAC,Jan 2 2008
0,".S. Cassell, .T. Thomas, .C. Mobley, .C. Maggette, .C. Kaman ",1,15.1,38.0,16.0,23.0,69.6,1.0,3.0,33.3,5.0,5.0,100,2.0,11.0,13.0,13.0,3.0,1.0,0.0,0.0,4.0,6.0,10.0,LAC,Jan 12 2008
1,".T. Thomas, .B. Knight, .C. Mobley, .C. Maggette, .C. Kaman ",1,8.9,17.0,6.0,12.0,50.0,0.0,2.0,0.0,5.0,9.0,55.6,0.0,6.0,6.0,4.0,2.0,2.0,0.0,1.0,7.0,7.0,1.0,LAC,Jan 12 2008
2,".T. Thomas, .B. Knight, .C. Mobley, .C. Kaman, .A. Thornton ",1,5.7,9.0,3.0,9.0,33.3,1.0,2.0,50.0,2.0,3.0,66.7,0.0,4.0,4.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,-1.0,LAC,Jan 12 2008
